,annealing_schedule,archive_minimum_acceptable_dissimilarity,average_runtime,best_performance,bound_enforcing_method,cholesky_path_length,maximum_archive_length,maximum_function_evaluations,maximum_markov_chain_length,mean_performance,objective_function,pertubation_method,raw_results,std_perormance,step_size_initialisation_fraction_of_range,x_bounds,x_length
10,simple_exponential_cooling,0.2,1.5074743270874023,-1811.486956498196,not_clipping,5.0,100.0,10000.0,3.0,-1392.693163164176,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1304.97945824 -1468.53003219 -1811.4869565  -1735.21634008
 -1685.55353118 -1491.50900372 -1628.36218995 -1632.21474418
 -1526.50046301 -1356.03383465 -1476.30685735  -929.23564547
 -1237.99832706 -1359.39381131 -1434.69125125  -933.9310011
 -1155.80279076 -1252.3626106  -1106.94149804 -1169.22708108
 -1421.50134605 -1300.35293076 -1360.77253065 -1495.02813307
 -1450.29587417 -1535.14539422 -1408.14721757 -1438.82939127
  -926.74187009 -1747.70277934]",230.23648716841092,0.1,"(-500, 500)",5.0
11,simple_exponential_cooling,0.2,0.9021938006083171,-499.9231881986066,not_clipping,5.0,100.0,10000.0,3.0,-468.2772074801789,<function rana_func at 0x0000020494B001F0>,simple,"[-495.45864231 -498.48177013 -451.18900132 -455.62654045 -455.58816577
 -391.88047307 -481.40523565 -499.82191009 -433.9500418  -481.63092227
 -496.79622614 -499.9231882  -451.01321522 -495.1414151  -465.55204455
 -420.26974188 -461.23699925 -481.01438488 -433.70209636 -495.57537039
 -467.24151054 -481.31596183 -499.71883329 -498.50384855 -450.22024349
 -496.70156964 -493.54425064 -407.88133091 -447.06276492 -460.86852577]",29.395119625961346,0.1,"(-500, 500)",2.0
12,simple_exponential_cooling,0.2,2.5582480430603027,-1799.093393633509,not_clipping,5.0,100.0,10000.0,4.0,-1306.9263163642013,<function rana_func at 0x0000020494B001F0>,Cholesky,"[-1267.43989611 -1243.28825584  -960.86128628 -1020.36103032
 -1042.95332901 -1259.88932897 -1340.77725383 -1361.18359428
 -1125.70643736 -1291.73245675 -1004.99330255 -1135.51547877
 -1799.09339363 -1434.20948129 -1343.43253887 -1326.40225793
  -994.53844257 -1252.25623689 -1277.11575495 -1356.76440738
 -1610.29839699 -1544.68291799 -1442.8213597  -1703.17572574
 -1432.47708392 -1204.02594512 -1413.53521723 -1096.38772595
 -1410.56440303 -1511.30655167]",204.92101963912555,0.01,"(-500, 500)",5.0
13,simple_exponential_cooling,0.2,1.4888583978017171,-1556.838932171617,not_clipping,5.0,100.0,10000.0,4.0,-1304.845088158988,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1409.55383055 -1556.83893217 -1446.31113818 -1202.77476503
 -1149.64548332 -1255.48923833 -1336.64750358 -1506.75719314
 -1287.24975713 -1356.0336504  -1167.07510217 -1099.03096555
 -1508.24400482 -1310.94070116 -1120.7718705  -1216.66378657
 -1155.80347411 -1098.32478826 -1137.55084662 -1284.40941704
 -1090.22852327 -1389.56260605 -1136.60440183 -1498.78907241
 -1000.44604743 -1486.01140152 -1382.153254   -1539.23638041
 -1470.13933626 -1546.06517296]",163.7952354520907,0.1,"(-500, 500)",5.0
14,simple_exponential_cooling,0.2,0.8970219691594442,-499.3503910324907,not_clipping,5.0,100.0,10000.0,4.0,-462.71070562404105,<function rana_func at 0x0000020494B001F0>,simple,"[-393.36454287 -498.56445321 -465.57943355 -480.44618177 -455.80480415
 -497.93159412 -481.40523565 -488.21754881 -496.82410379 -480.82513974
 -417.0299523  -399.29611537 -480.50109548 -496.80922083 -451.17054212
 -495.93873064 -461.20537023 -499.35039103 -451.20375619 -409.53910453
 -467.24151054 -497.43624467 -461.08039978 -460.67121906 -455.93944215
 -468.80113017 -391.65580252 -461.46691635 -498.99886222 -417.02232489]",33.21497921638106,0.1,"(-500, 500)",2.0
15,simple_exponential_cooling,0.2,2.5851213216781614,-1780.1303071721686,not_clipping,5.0,100.0,10000.0,7.0,-1337.129601386413,<function rana_func at 0x0000020494B001F0>,Cholesky,"[-1319.19061694 -1303.16336914 -1274.85338102  -937.67725415
 -1585.416119   -1581.6310935  -1419.61454437 -1339.95907294
 -1144.72049693 -1266.31523596 -1780.13030717 -1199.0774061
 -1033.69583662 -1380.51947135 -1528.94446162 -1144.60771549
 -1323.32585581 -1473.96880863  -940.16229272 -1363.36213736
 -1561.08262706 -1183.04118225 -1676.85414967 -1305.0789309
 -1328.21750108 -1101.07412983 -1517.24759749 -1227.69440152
 -1778.54832486 -1094.71372011]",219.06409362840236,0.01,"(-500, 500)",5.0
16,simple_exponential_cooling,0.2,1.493122903505961,-1845.020932390317,not_clipping,5.0,100.0,10000.0,7.0,-1482.991727541849,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1518.46443751 -1630.18401905 -1630.12677874 -1157.53056551
 -1221.93222915 -1227.00011012 -1609.24837339 -1540.71657435
 -1480.59379349 -1496.77379082 -1360.74260663 -1371.39978609
 -1667.02878475 -1507.66476146 -1393.25308087 -1245.32729623
 -1550.4921564  -1402.17557038 -1845.02093239 -1312.77911871
 -1665.34692807 -1708.54798395 -1664.54687215 -1630.86485819
 -1303.41330625 -1325.39532947 -1520.36074928 -1524.63111943
 -1690.68628954 -1287.50362384]",171.43649085644972,0.1,"(-500, 500)",5.0
17,simple_exponential_cooling,0.2,0.923330823580424,-500.01088179844874,not_clipping,5.0,100.0,10000.0,7.0,-477.7950359861371,<function rana_func at 0x0000020494B001F0>,simple,"[-496.56998542 -465.79739617 -438.98347841 -499.27233284 -481.50391604
 -432.19933406 -500.0108818  -488.21754881 -465.78419878 -438.59964873
 -456.21134799 -497.95931575 -468.99133629 -422.83990716 -467.64393068
 -491.27830613 -465.64842549 -481.48161389 -495.27687213 -499.38380551
 -497.72805658 -498.29154037 -492.81519176 -496.0050664  -466.61316889
 -464.90268503 -497.94878312 -497.73401885 -468.62770004 -499.53128646]",22.400377877802136,0.1,"(-500, 500)",2.0
18,simple_exponential_cooling,0.2,2.6624987443288166,-1695.349148495079,not_clipping,5.0,100.0,10000.0,11.0,-1391.9931667205253,<function rana_func at 0x0000020494B001F0>,Cholesky,"[-1547.49044017 -1651.30670468 -1303.08935135 -1285.96186005
 -1612.3488497  -1593.46021612 -1385.39604986 -1590.39683965
 -1539.34865322 -1384.05821262 -1492.31151263 -1190.69076257
 -1475.26797273 -1422.52500949 -1130.62984303 -1297.96968795
 -1206.87622676 -1658.4446857  -1509.19055403 -1386.11203309
 -1427.59884726 -1339.09263837 -1074.36858241 -1128.74840069
 -1305.02888912 -1020.0746671  -1493.16210368 -1695.3491485
 -1518.78253898 -1094.71372011]",186.40318270350997,0.01,"(-500, 500)",5.0
19,simple_exponential_cooling,0.2,1.5807646671930948,-1785.2965477326588,not_clipping,5.0,100.0,10000.0,11.0,-1421.1023249243333,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1656.55944693 -1100.81079984 -1713.63020169 -1572.1543486
 -1037.26747941 -1631.11043712 -1357.50287273 -1365.56074463
 -1407.62858543 -1239.11829759 -1583.50217384 -1005.87649368
 -1379.89324098 -1425.44846844 -1675.75208374 -1546.69194252
 -1264.41752071 -1114.7863778  -1045.45341317 -1263.34253695
 -1507.55361809 -1306.59229318 -1650.67063219 -1498.78907241
 -1607.00611853 -1503.82792151 -1557.07646943 -1238.93150362
 -1785.29654773 -1590.81810522]",215.84125771174612,0.1,"(-500, 500)",5.0
